,CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
0,129,Male,59,71,11
1,131,Male,47,71,9
2,135,Male,20,73,5
3,137,Female,44,73,7
4,139,Male,19,74,10
5,141,Female,57,75,5
6,145,Male,25,77,12
7,149,Female,34,78,22
8,151,Male,43,78,17
9,153,Female,44,78,20
10,155,Female,47,78,16
11,157,Male,37,78,1
12,159,Male,34,78,1
13,163,Male,19,81,5
14,165,Male,50,85,26
15,167,Male,42,86,20
16,171,Male,40,87,13
17,173,Male,36,87,10
18,175,Female,52,88,13
19,177,Male,58,88,15
20,179,Male,59,93,14
21,183,Male,46,98,15
