,CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
0,124,Male,39,69,91
1,126,Female,31,70,77
2,128,Male,40,71,95
3,130,Male,38,71,75
4,132,Male,39,71,75
5,134,Female,31,72,71
6,136,Female,29,73,88
7,138,Male,32,73,73
8,140,Female,35,74,72
9,142,Male,32,75,93
10,144,Female,32,76,87
11,146,Male,28,77,97
12,148,Female,32,77,74
13,150,Male,34,78,90
14,152,Male,39,78,88
15,154,Female,38,78,76
16,156,Female,27,78,89
17,158,Female,30,78,78
18,160,Female,30,78,73
19,162,Female,29,79,83
20,164,Female,31,81,93
21,166,Female,36,85,75
22,168,Female,33,86,95
23,172,Male,28,87,75
24,174,Male,36,87,92
25,176,Female,30,88,86
26,178,Male,27,88,69
27,180,Male,35,93,90
28,182,Female,32,97,86
29,184,Female,29,98,88
